t,x1,x2,x3,u1,u2,sequence
0.059,-0.00183687845365973,-2.67593336537173e-05,0.00236531832920364,-0,-0,1
0.06,-0.00166207763749802,-0.000932364519527798,0.0020979010546163,0.000158398108409598,7.60746590860944e-05,0
0.061,3.44521876476458e-06,-0.000982322250419957,0.00157082813738397,0,0,0
0.062,3.11563586752599e-06,-0.00140587651058878,0.000912016485039019,0,0,0
0.063,2.81828861955929e-06,-0.00149771198451693,0.000112657928105519,0,0,0
0.064,2.55053123217714e-06,-0.00126489490053366,-0.000646655497521245,0,0,1
0.065,2.3089187572136e-06,-0.000782708377027468,-0.00120825518087461,5.7447942212407e-05,5.5906317556428e-05,0
0.066,0.000548779014578374,0.000257181036266606,-0.00134886504241057,0,0,0
0.067,0.000496555082057103,0.000729009412407166,-0.00107567002862507,0,0,0
0.068,0.000449300772837843,0.00100866217162122,-0.000596423585850864,0,0,0
0.069,0.000406543781508898,0.00105225673669473,-2.91353660525614e-05,0,0,1
0.07,0.00036785629240353,0.00086943122973749,0.000498967712715974,-8.30119804237498e-05,-6.53929477826249e-05,0
0.071,-0.000457112991875077,1.35556623677326e-05,0.000738651205644095,-0,-0,0
0.0720000000000001,-0.000413613048970719,-0.000273291832029263,0.000666072932714895,-0,-0,0
0.0730000000000001,-0.000374252810781386,-0.000479303890088364,0.000458181563326308,-0,-0,0
0.0740000000000001,-0.000338638137276456,-0.000567297432224024,0.00016984059745438,-0,-0,1
0.0750000000000001,-0.000306412468418205,-0.000528066115351978,-0.000131428817542218,5.49719194030628e-05,4.00912957442784e-05,0
0.0760000000000001,0.000245873584822492,-7.14263971614653e-05,-0.000294638013160179,0,0,0
0.0770000000000001,0.000222475621792369,5.51676207603343e-05,-0.000298624643754879,0,0,0
0.0780000000000001,0.000201304233107683,0.000159951751582068,-0.000239024977075938,0,0,0
0.0790000000000001,0.000182147561056904,0.000222469928978861,-0.000133550064280902,0,0,1
0.0800000000000001,0.000164813910329751,0.000232856260575897,-8.21412974160622e-06,-2.58005529418906e-05,-1.79124750252665e-05,0
0.0810000000000001,-9.63949251157304e-05,5.51683139056391e-05,7.03598578125499e-05,-0,-0,0
0.0820000000000001,-8.72217317831936e-05,1.79095837484728e-05,9.03258607212171e-05,-0,-0,0
0.0830000000000001,-7.89214867622948e-05,-2.01644815520872e-05,8.95587623256616e-05,-0,-0,0
0.0840000000000001,-7.14111176440821e-05,-5.09222055939862e-05,6.98788094710287e-05,-0,-0,1
0.0850000000000001,-6.46154550162419e-05,-6.84321466769184e-05,3.6967644283368e-05,8.45405716520413e-06,5.36000334213683e-06,0
0.0860000000000001,2.19845079987883e-05,-2.87765517980261e-05,1.03705945386893e-05,0,0,0
0.0870000000000001,1.98924053724321e-05,-2.74622349748344e-05,-5.10004644758673e-06,0,0,0
0.0880000000000001,1.79993930427407e-05,-2.04347726668874e-05,-1.82532119680674e-05,0,0,0
0.0890000000000001,1.6286524715399e-05,-9.63982229231294e-06,-2.64875275644564e-05,0,0,1
0.0900000000000001,1.47366570832512e-05,2.33433347415741e-06,-2.84517356801651e-05,-9.57417704471155e-07,-2.6606688624857e-07,0
0.0910000000000001,4.2232444607186e-06,1.08080501258866e-05,-2.48026081177316e-05,-0,-0,0
0.0920000000000001,3.82134925926987e-06,1.83628988188764e-05,-1.67463029114251e-05,-0,-0,0
0.0930000000000001,3.45769953782664e-06,2.14232757712352e-05,-5.78622182434486e-06,-0,-0,0
0.0940000000000001,3.1286559212545e-06,1.97001583735591e-05,5.52342605284047e-06,-0,-0,1
0.0950000000000001,2.83092514469095e-06,1.3941078594863e-05,1.47585946355117e-05,-1.16880786096303e-06,-1.02602675339831e-06,0
0.0960000000000001,-8.5611502813475e-06,-2.21062695318275e-06,1.79243720298267e-05,-0,-0,0
0.0970000000000001,-7.74644922194683e-06,-8.70306594424364e-06,1.48961607404165e-05,-0,-0,0
0.0980000000000001,-7.00927726263472e-06,-1.28325402947614e-05,8.95412616452563e-06,-0,-0,0
0.0990000000000001,-6.3422564218245e-06,-1.39130992860018e-05,1.59014217469664e-06,-0,-0,1
